dataset,filename,lleboul,mtorte
NEAMS,2020_05_11_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_11_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_12_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_12_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_13_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_13_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_14_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_14_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_15_11_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_15_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_15_19_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_16_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_17_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_17_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_17_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_17_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_17_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_18_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_18_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_18_04_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_18_12_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_18_21_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_19_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_20_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_20_05_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_20_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_20_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_21_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_21_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_22_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_22_20_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_23_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_25_13_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_25_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_25_22_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_26_01_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_26_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_26_15_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_27_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_27_03_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_27_07_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_27_23_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_28_02_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_28_06_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_28_08_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_28_17_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_28_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_29_18_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_30_14_00_00_000000+0000.wav,FINISHED,CREATED
NEAMS,2020_05_31_13_00_00_000000+0000.wav,FINISHED,CREATED
