dataset,filename,annotator1,annotator2
dataset1,2022_07_07T10_56_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_57_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_58_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T10_59_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_00_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_01_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_02_53.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_03.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_13.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_23.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_33.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_43.wav,FINISHED,FINISHED
dataset1,2022_07_07T11_03_53.wav,FINISHED,FINISHED
