dataset,filename,lleboul,mtorte
MADW,2020_03_13_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_13_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_15_10_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_15_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_15_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_15_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_16_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_16_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_16_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_17_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_18_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_18_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_18_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_19_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_19_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_19_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_20_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_20_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_21_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_21_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_22_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_23_13_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_25_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_25_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_15_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_16_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_26_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_27_06_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_28_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_29_05_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_30_08_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_30_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_31_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_03_31_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_01_01_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_01_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_01_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_01_18_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_02_19_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_02_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_02_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_04_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_20_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_03_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_04_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_04_21_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_05_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_05_12_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_06_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_06_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_07_17_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_08_00_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_08_23_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_09_03_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_09_07_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_09_09_00_00_000000+0000.wav,FINISHED,CREATED
MADW,2020_04_10_05_00_00_000000+0000.wav,FINISHED,CREATED
