dataset,filename,bcolon,mdupon
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_24_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_24_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_24_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_24_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_25_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_26_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_27_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_28_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_29_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_30_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_31_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_32_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_33_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_34_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_35_57.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_07.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_17.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_27.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_37.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_47.wav,FINISHED,FINISHED
APOCADO_C2D1_IROISE_07072022 (10_144000),2022_07_07T00_36_57.wav,FINISHED,FINISHED
