dataset,filename,jbeesa,mtorte
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_00_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_00_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_00_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_01_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_02_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_03_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_04_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_05_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_06_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_07_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_08_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_09_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_10_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_11_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_10_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_20_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_30_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_40_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_12_50_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_00_00.wav,UNASSIGNED,FINISHED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_13_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_14_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_15_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_16_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_17_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_18_50_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_00_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_10_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_20_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_30_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_40_00.wav,FINISHED,CREATED
GLIDER/OHAGEODAMS_2024 (600_500),2024_02_23_19_50_00.wav,FINISHED,CREATED
